term,idf
аа,4.605170
аалтонный,4.605170
ааронов,3.912023
абак,3.912023
абака,3.912023
абампер,4.605170
абастуманский,4.605170
абастумань,4.605170
абба,4.605170
аббасид,4.605170
аббасидский,4.605170
аббатство,3.912023
аббревиатура,3.912023
аббревиатуроя,3.912023
абвольт,4.605170
абгенри,4.605170
абдельрахман,4.605170
абдурахманов,4.605170
абдурашит,4.605170
абердиншир,4.605170
абердуля,4.605170
аберистуит,4.605170
аберрантный,4.605170
аберрация,3.912023
абзац,4.605170
абиотический,4.605170
аблатив,4.605170
абом,4.605170
абонентский,4.605170
абони,4.605170
абразивный,4.605170
абрамовица,4.605170
абрахам,4.605170
абрикос,4.605170
абрис,4.605170
абс,3.506558
абсолютизировать,4.605170
абсолютизм,4.605170
абсолютно,2.525729
абсолютноя,3.218876
абсолютныи,4.605170
абсолютный,1.771957
абсорбционный,4.605170
абсорбция,4.605170
абстрагирование,3.912023
абстрагировать,4.605170
абстрактноя,3.912023
абстрактныи,3.912023
абстрактный,3.506558
абстракция,4.605170
аванесов,4.605170
аванпост,4.605170
аванпроект,4.605170
авар,4.605170
авариеи,4.605170
авариин,2.995732
авариинай,3.218876
аварииная,4.605170
аварииной,3.506558
аварииность,4.605170
аварииностью,4.605170
аварииноя,3.912023
аварииныи,3.912023
авария,2.813411
аварский,4.605170
аввакум,4.605170
авг,4.605170
август,0.693147
августалый,4.605170
августин,4.605170
августой,4.605170
августула,4.605170
аверинцев,3.912023
аверкин,4.605170
аверроэс,4.605170
авиагоризонт,3.912023
авиакатастрофа,4.605170
авиакомпания,3.912023
авиалиния,4.605170
авиамаяк,4.605170
авиаперевозка,4.605170
авиапредприятие,4.605170
авиасимулятор,4.605170
авиастроение,4.605170
авиатехник,4.605170
авиатопливо,3.912023
авиатранспорт,4.605170
авиациеи,4.605170
авиационноя,3.218876
авиационныи,2.995732
авиационный,2.040221
авиация,2.407946
авионика,3.912023
авиценный,4.605170
авлос,4.605170
авма,4.605170
авогадро,3.912023
авп,4.605170
авпо,4.605170
авраам,4.605170
аврелиан,4.605170
аврелий,3.912023
авсония,4.605170
австразие,4.605170
австразиеи,4.605170
австразия,4.605170
австралииский,3.912023
австралия,2.659260
австриеи,4.605170
австрииский,3.912023
австрииския,4.605170
австриискои,3.912023
австрия,3.506558
авт,3.218876
авто,4.605170
автобус,2.813411
автобусныи,4.605170
автоваз,4.605170
автоведениеэто,4.605170
автовокзал,4.605170
автограф,3.506558
автодом,4.605170
автодорога,4.605170
автодорожноя,4.605170
автодорожный,4.605170
автодраивать,4.605170
автожир,4.605170
автозавод,4.605170
автоистория,4.605170
автокир,4.605170
автоклавноя,4.605170
автокодировщик,4.605170
автолюбителей,4.605170
автолюбитель,4.605170
автомагистраль,4.605170
автомат,1.714798
автоматизация,1.771957
автоматизированноя,3.912023
автоматизированныи,3.218876
автоматизированный,2.040221
автоматизировать,2.995732
автоматизироваться,4.605170
автоматика,3.506558
автоматически,2.407946
автоматический,1.469676
автоматическия,3.218876
автоматическои,2.407946
автоматон,4.605170
автоматопоэтика,4.605170
автомобилей,1.966113
автомобилестроение,3.218876
автомобилизация,4.605170
автомобилист,3.912023
автомобиль,1.386294
автомобильноя,2.525729
автомобильныи,3.218876
автомобильный,2.040221
автомойка,4.605170
автомузей,4.605170
автономиеи,4.605170
автономность,3.912023
автономноя,3.912023
автономныи,3.506558
автономный,2.407946
автопарк,4.605170
автопилот,2.659260
автопоезд,4.605170
автопользование,4.605170
автопроизводителей,4.605170
автопроизводитель,4.605170
автопром,4.605170
автор,1.771957
авторевю,4.605170
авторитет,4.605170
авторитетный,2.525729
авторотация,3.912023
авторский,3.218876
авторство,3.912023
авторулевои,4.605170
автосборочный,4.605170
автосервис,4.605170
автоспид,4.605170
автостанция,4.605170
автостоп,4.605170
автостоянка,4.605170
автотранспорт,3.506558
автотранспортный,4.605170
автотрансформатор,4.605170
автотрасса,4.605170
автотреилер,4.605170
автотроф,4.605170
автоуправление,4.605170
автофазировка,4.605170
автохтонный,3.912023
автоэлектроника,4.605170
агарков,4.605170
агат,4.605170
агенс,4.605170
агент,3.506558
агентныи,4.605170
агентный,4.605170
агентство,3.506558
агиос,4.605170
агитация,4.605170
аглабид,4.605170
агломерат,3.912023
агломерация,4.605170
агнес,4.605170
аграрныи,4.605170
аграрный,3.912023
агрегат,1.714798
агрегатирование,4.605170
агрегатировать,4.605170
агрегатноя,4.605170
агрегатный,2.659260
агрегирование,4.605170
агрегироваться,4.605170
агрессивность,4.605170
